"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
176,Timor-Leste,23460,,138,,23102,,220,,17131,101,278529,203391,1369429,Asia,58,9923,5,,,161
177,Burkina Faso,22114,,400,,21596,,118,,1001,18,248995,11265,22102838,Africa,999,55257,89,,,5
178,Liechtenstein,21574,,94,,N/A,N/A,N/A,N/A,562013,2449,112457,2929559,38387,Europe,2,408,0,,,3334
179,Gibraltar,20550,,113,,N/A,N/A,N/A,,609720,3353,534283,15852213,33704,Europe,2,298,0,,,114467
180,Grenada,19693,,238,,19358,,97,4,173545,2097,182981,1612523,113475,North America,6,477,1,,,855
181,Bermuda,18860,,165,,18685,,10,,304493,2664,1029558,16622128,61939,North America,3,375,0,,,161
182,South Sudan,18819,,147,,18115,,557,1,1620,13,410280,35313,11618511,Africa,617,79037,28,,,48
183,Nicaragua,18491,,225,,4225,,14041,,2728,33,,,6779100,North America,367,30129,,,,2071
184,Tajikistan,17786,,125,,17264,,397,,1786,13,,,9957464,Asia,560,79660,,,,40
185,Equatorial Guinea,17229,,183,,16907,,139,5,11512,122,365697,244342,1496662,Africa,87,8178,4,,,93
186,Monaco,17181,,67,,N/A,N/A,N/A,N/A,431868,1684,78646,1976875,39783,Europe,2,594,1,,,28203
187,Samoa,17006,,31,,1605,,15370,,84089,153,187397,926612,202239,Australia/Oceania,12,6524,1,,,75999
188,Tonga,16950,,13,,15638,,1299,,157310,121,535009,4965327,107749,Australia/Oceania,6,8288,0,,,12056
189,Marshall Islands,16138,,17,,16121,,0,,268711,283,,,60057,Australia/Oceania,4,3533,,,,
190,Dominica,16038,,74,,15964,,0,,221691,1023,229344,3170187,72344,North America,5,978,0,,,
191,Djibouti,15690,,189,,15427,,74,,15441,186,305941,301094,1016097,Africa,65,5376,3,,,73
192,CAR,15440,,113,,15200,,127,2,3078,23,81294,16205,5016678,Africa,325,44395,62,,,25
193,Gambia,12626,,372,,12189,,65,,4935,145,155686,60851,2558482,Africa,203,6878,16,,,25
194,Saint Martin,12324,,63,,N/A,N/A,N/A,N/A,310194,1586,112382,2828643,39730,North America,3,631,0,,,273395
195,Vanuatu,12019,,14,,11976,,29,,37346,44,24976,77606,321832,Australia/Oceania,27,22988,13,,,90
196,Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,56973,North America,5,2713,0,,,161287
197,Yemen,11945,,2159,,9124,,662,N/A,383,69,329592,10579,31154867,Asia,2608,14430,95,,,21
198,Caribbean Netherlands,11682,,38,,10476,,1168,,438398,1426,30126,1130559,26647,North America,2,701,1,,,43832
199,Sint Maarten,11051,,92,,10905,,54,N/A,251353,2093,62056,1411454,43966,North America,4,478,1,,,1228
